@RELATION	text2arff

%This file is generated by Text2arff V.5. Text2arff tool was developed by Naturel Language Processing
%group of Yıldız Technical University Computer Engineering Department.
%Look for www.kemik.yildiz.edu.tr for more information.

@ATTRIBUTE	COUNT_CUMLE	REAL
@ATTRIBUTE	COUNT_KELIME	REAL
@ATTRIBUTE	COUNT_HARF	REAL
@ATTRIBUTE	COUNT_DEVRIK_CUMLE	REAL
@ATTRIBUTE	COUNT_EK	REAL
@ATTRIBUTE	COUNT_UC_NOKTA	REAL
@ATTRIBUTE	COUNT_NOKTA	REAL
@ATTRIBUTE	COUNT_SORU_ISARETI	REAL
@ATTRIBUTE	COUNT_UNLEM	REAL
@ATTRIBUTE	COUNT_BOSLUK	REAL
@ATTRIBUTE	COUNT_VIRGUL	REAL
@ATTRIBUTE	COUNT_NOLTALI_VIRGUL	REAL
@ATTRIBUTE	COUNT_IKI_NOKTA	REAL
@ATTRIBUTE	COUNT_TIRNAK	REAL
@ATTRIBUTE	COUNT_CUMLE_BASINA_KELIME	REAL
@ATTRIBUTE	COUNT_CUMLE_BASINA_EK	REAL
@ATTRIBUTE	COUNT_KELIME_BASINA_EK	REAL
@ATTRIBUTE	COUNT_KELIME_BASINA_HARF	REAL
@ATTRIBUTE	class	{0,1,}

@DATA
1.0, 4.0, 33.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 2.0, 4.0, 1.0, 0.25, 8.25, 1
1.0, 8.0, 63.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 8.0, 0.0, 0.0, 0.0, 2.0, 8.0, 2.0, 0.25, 7.875, 1
2.0, 10.0, 61.0, 0.0, 5.0, 1.0, 3.0, 0.0, 1.0, 10.0, 0.0, 0.0, 0.0, 0.0, 5.0, 2.5, 0.5, 6.1, 1
1.0, 6.0, 47.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 6.0, 3.0, 0.5, 7.833, 1
1.0, 13.0, 90.0, 0.0, 6.0, 0.0, 1.0, 1.0, 0.0, 12.0, 0.0, 0.0, 0.0, 1.0, 13.0, 6.0, 0.462, 6.923, 1
1.0, 11.0, 85.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 11.0, 0.0, 0.0, 1.0, 5.0, 11.0, 3.0, 0.273, 7.727, 1
1.0, 3.0, 30.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 4.0, 1.333, 10.0, 1
1.0, 7.0, 65.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0, 0.0, 1.0, 7.0, 8.0, 1.143, 9.286, 1
1.0, 10.0, 68.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 10.0, 5.0, 0.5, 6.8, 1
1.0, 8.0, 61.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 8.0, 5.0, 0.625, 7.625, 1
1.0, 7.0, 60.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 7.0, 0.0, 0.0, 0.0, 1.0, 7.0, 3.0, 0.429, 8.571, 1
1.0, 6.0, 44.0, 0.0, 3.0, 1.0, 3.0, 1.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 6.0, 3.0, 0.5, 7.333, 1
1.0, 6.0, 39.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 6.0, 2.0, 0.333, 6.5, 1
1.0, 8.0, 52.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 0.0, 1.0, 0.0, 8.0, 5.0, 0.625, 6.5, 1
1.0, 4.0, 24.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 4.0, 3.0, 0.75, 6.0, 1
1.0, 5.0, 28.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 5.0, 0.0, 0.0, 0.0, 0.0, 5.0, 1.0, 0.2, 5.6, 1
1.0, 9.0, 63.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 1.0, 9.0, 2.0, 0.222, 7.0, 1
1.0, 5.0, 52.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 5.0, 7.0, 1.4, 10.4, 1
1.0, 5.0, 38.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 1.0, 0.0, 5.0, 5.0, 1.0, 7.6, 1
1.0, 3.0, 21.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 0.333, 7.0, 1
1.0, 6.0, 51.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 2.0, 6.0, 5.0, 0.833, 8.5, 1
1.0, 5.0, 38.0, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 1.0, 0.0, 5.0, 5.0, 1.0, 7.6, 1
1.0, 9.0, 72.0, 0.0, 5.0, 0.0, 0.0, 2.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 9.0, 5.0, 0.556, 8.0, 1
1.0, 7.0, 65.0, 0.0, 7.0, 0.0, 0.0, 0.0, 0.0, 7.0, 2.0, 0.0, 1.0, 0.0, 7.0, 7.0, 1.0, 9.286, 1
1.0, 10.0, 54.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 10.0, 3.0, 0.3, 5.4, 1
